0	1	 What Texas city is nicknamed "The Yellow Rose of Texas"?	Amarillo
1	1	Africa is a country.	False
2	1	Alaska is the largest state in the United States.	True
3	1	Colchester Overpass, otherwise known as "Bunny Man Bridge", is located where?	Fairfax County, Virginia
4	1	Colombia is named after Christopher Columbus.	True
5	1	Frankenmuth, a US city nicknamed "Little Bavaria", is located in what state?	Michigan
6	1	Greenland is almost as big as Africa.	False
7	1	How many countries are inside the United Kingdom?	Four
8	1	How many countries border Kyrgyzstan?	4
9	1	How many countries does Spain have a land border with?	5
10	1	How many countries does the United States share a land border with?	2
11	1	How many federal states does Germany have?	16
12	1	How many independent countries are there within the continent of South America?	12
13	1	How many islands does Kuwait have?	9
14	1	How many rivers are in Saudi Arabia?	0
15	1	In Washington, D.C. what does the "C" stand for?	Columbia
16	1	In which country is located the municipality of Arteijo?	Spain
17	1	Japan has left-hand side traffic.	True
18	1	Miami is Florida's largest city.	False
19	1	Montreal is in which Canadian province?	Quebec
20	1	New Haven is the capital city of the state of Connecticut in the United States.	False
21	1	On which continent does the Andes mountain range lie?	South America
22	1	Portugal's modern territory was once a part of the Roman Empire.	True
23	1	Russia shares a land border with North Korea.	True
24	1	Santorini is an island belonging to what European Country?	Greece
25	1	St. Louis is the capital of the US State Missouri.	False
26	1	The Principality of Sealand is an unrecognized micronation off the coast of what country?	The United Kingdom
27	1	The Pyrenees mountains are located on the border of which two countries?	France and Spain
28	1	The Sonoran Desert is located in eastern Africa.	False
29	1	The White Cliffs of Dover is located in which country? 	United Kingdom
30	1	The World Health Organization headquarters is located in which European country?	Switzerland
31	1	The capital of Brazil is Rio de Janeiro.	False
32	1	The capital of Indonesia is Bali.	False
33	1	The capital of the US State Ohio is the city of Chillicothe.	False
34	1	The historical city Timbuktu is located in which West African country?	Mali
35	1	The mountainous Khyber Pass connects which of the two following countries?	Afghanistan and Pakistan
36	1	There are no deserts in Europe.	True
37	1	There exists an island named "Java".	True
38	1	There is 47 prefectures in Japan.	True
39	1	Tokyo is the capital of Japan.	True
40	1	Until 1939, Laos was called Siam.	False
41	1	Vatican City is a country.	True
42	1	What North American tourist attraction is served by the "Maid of the Mist" tour company?	Niagara Falls
43	1	What city is known as the Rose Capital of the World?	Tyler, Texas
44	1	What city is the Terracotta Army located in?	Xi'an
45	1	What country is not a part of Scandinavia?	Finland
46	1	What event led to Liechenstein adding a crown to its flag?	The 1936 Olympics
47	1	What is Canada's largest island?	Baffin Island
48	1	What is Laos?	Country
49	1	What is the 15th letter of the Greek alphabet?	Omicron ()
50	1	What is the Capital of the United States?	Washington, D.C.
51	1	What is the Finnish word for "Finland"?	Suomi
52	1	What is the capital city of Bermuda?	Hamilton
53	1	What is the capital city of Slovenia?	Ljubljana
54	1	What is the capital of Australia?	Canberra
55	1	What is the capital of Bangladesh?	Dhaka
56	1	What is the capital of Belarus?	Minsk
57	1	What is the capital of Brazil?	Brasilia
58	1	What is the capital of Chile?	Santiago
59	1	What is the capital of Cyprus?	Nicosia
